codigo,nome
C0858924,general discomfort
C0013144,drowsiness
C0427008,stiffness
C0242453,prostatism
C0043094,weight gain
C0577559,mass of body structure
C0557075,has religious belief
C0027769,nervousness
C0016579,formication
C0600142,hot flush
C0221198,lesion
C0332601,cushingoid facies
C0743482,emphysematous change
C0043096,decreased body weight
C0019825,hoarseness
C0205400,thicken
C0233308,spontaneous rupture of membranes
C0032739,
C0026827,muscle hypotonia
C0332575,redness
C0020580,hypesthesia
C0034880,hyperacusis
C1384489,scratch marks
C0234233,sore to touch
C0085624,burning sensation
C0239233,satiety early
C1444773,throbbing sensation quality
C0234215,sensory discomfort
C0009806,constipation
C0000737,pain abdominal
C0018834,heartburn
C0006157,breech presentation
C0010520,cyanosis
C0023222,pain in lower limb
C0018800,cardiomegaly
C0009024,clonus
C0857256,unwell
C0003123,anorexia
C0003126,anosmia
C1513183,metastatic lesion
C0271202,hemianopsia homonymous
C0744727,hematocrit decreased
C0151315,neck stiffness
C0008767,cicatrisation
C0347938,hypometabolism
C0236018,aura
C0027066,myoclonus
C0232517,gurgle
C0558195,wheelchair bound
C0238705,left atrial hypertrophy
C0028961,oliguria
C0007398,catatonia
C0847488,unhappy
C0030554,paresthesia
C0232995,gravida 0
C0034079,lung nodule
C0000731,distended abdomen
C0234238,ache
C0558143,macerated skin
C0581912,heavy feeling
C0234253,rest pain
C0232201,sinus rhythm
C0424092,withdraw
C0424295,behavior hyperactive
C0558261,terrify
C0085635,photopsia
C0392701,giddy mood
C0578859,disturbed family
C0917799,hypersomnia
C0020458,hyperhidrosis disorder
C0026961,mydriasis
C0234133,extrapyramidal sign
C0240233,loose associations
C0392674,exhaustion
C0037384,snore
C0429091,r wave feature
C0497406,overweight
C0232257,systolic murmur
C0231221,asymptomatic
C0038002,splenomegaly
C0151706,bleeding of vagina
C0332573,macule
C0085636,photophobia
C0221150,painful swallowing
C0006625,cachexia
C0020598,hypocalcemia result
C0020672,hypothermia - natural
C0741302,atypia
C0427108,general unsteadiness
C0242429,throat sore
C1260880,snuffle
C0239133,hacking cough
C0038450,stridor
C0030552,paresis
C0221470,aphagia
C0751495,focal seizures
C0423571,abnormal sensation
C0085628,stupor
C0231890,fremitus
C0271276,Stahli's line
C0677500,stinging sensation
C0522224,paralyse
C0019572,hirsutism
C0558361,sniffle
C0233565,bradykinesia
C0848168,out of breath
C0150045,urge incontinence
C0344232,vision blurred
C0848277,room spinning
C0423982,rambling speech
C0233844,clumsiness
C0278014,decreased stool caliber
C0018932,hematochezia
C0231872,egophony
C0233647,neologism
C0231187,decompensation
C0241252,stool color yellow
C0424790,rigor - temperature-associated observation
C0221166,paraparesis
C0554980,moody
C0877040,fear of falling
C0037763,spasm
C0020578,hyperventilation
C0278141,excruciating pain
C0016927,gag
C0872410,posturing
C0277899,pulse absent
C0392699,dysesthesia
C0521516,polymyalgia
C0848621,passed stones
C0151878,qt interval prolonged
C0004134,ataxia
C0018862,Heberden's node
C0019209,hepatomegaly
C0036396,sciatica
C0577979,frothy sputum
C0024103,mass in breast
C0277845,retropulsion
C0239301,estrogen use
C0751229,hypersomnolence
C0041667,underweight
C0541911,dullness
C0857199,red blotches
C0232488,colic abdominal
C0020621,hypokalemia
C0020175,hunger
C0240813,prostate tender
C0016512,pain foot
C0152032,urinary hesitation
C0281825,disequilibrium
C0016382,flushing
C0085632,indifferent mood
C1313921,urinoma
C0239981,hypoalbuminemia
C0241157,pustule
C0232854,slowing of urinary stream
C0277794,extreme exhaustion
C0442739,no status change
C1135120,breakthrough pain
C0232258,pansystolic murmur
C0694547,systolic ejection murmur
C0848340,stuffy nose
C0234866,barking cough
C0425488,rapid shallow breathing
C0237304,noisy respiration
C0264273,nasal discharge present
C0871754,frail
C1511606,cystic lesion
C0221151,projectile vomiting
C0581911,heavy legs
C0231690,titubation
C0234979,dysdiadochokinesia
C1321756,achalasia
C0748706,side pain
C0085702,monocytosis
C0032781,posterior rhinorrhea
C0542044,incoherent
C0311395,lameness
C0392162,clammy skin
C0264576,mediastinal shift
C0027498,nausea and vomiting
C0541798,awakening early
C0232726,tenesmus
C1167754,fecaluria
C0232894,pneumatouria
C0234544,todd paralysis
C0740880,alcoholic withdrawal symptoms
C0231528,myalgia
C1384606,dyspareunia
C0149758,poor dentition
C0857516,floppy
C0233467,inappropriate affect
C0576456,poor feeding
C0859032,moan
C0221232,welt
C0040264,tinnitus
C0020303,hydropneumothorax
C0429562,superimposition
C0235129,feeling strange
C0242143,uncoordination
C0424530,absences finding
C0270844,tonic seizures
C0742985,debilitation
C0338656,impaired cognition
C0013132,drool
C0235231,pin-point pupils
C0234379,tremor resting
C0541992,groggy
C0559546,adverse reaction
C1291077,abdominal bloating
C0231230,fatigability
C0233071,para 2
C0156543,abortion
C0232943,intermenstrual heavy bleeding
C0232997,previous pregnancies 2
C0860096,primigravida
C0702118,abnormally hard consistency
C1405524,proteinemia
C0007859,pain neck
C0857087,dizzy spells
C0278146,shooting pain
C0235250,hyperemesis
C0443260,milky
C0232605,regurgitates after swallowing
C0542073,lip smacking
C0751466,phonophobia
C0522336,rolling of eyes
C0002416,ambidexterity
C0232118,pulsus paradoxus
C1291692,gravida 10
C0006318,bruit
C0476287,breath-holding spell
C0240962,scleral icterus
C0232602,retch
C0948786,blanch
C0233492,elation
C0558089,verbally abusive behavior
C0558141,transsexual
C0474395,behavior showing increased motor activity
C0241158,scar tissue
C0520966,coordination abnormal
C0008301,choke
C0232695,bowel sounds decreased
C0262581,no known drug allergies
C0024031,low back pain
C0277823,charleyhorse
C0205254,sedentary
C0424749,feels hot/feverish
C1517205,flare
C0232267,pericardial friction rub
C0424337,hoard
C0030318,panic
C0425560,cardiovascular finding
C0037580,soft tissue swelling
C0427629,rhd positive
C0233070,para 1
C0277873,nasal flaring
C0037383,sneeze
C0235396,hypertonicity
C0277977,Murphy's sign
C0016204,flatulence
C0425449,gasping for breath
C0474505,feces in rectum
C0240805,prodrome
C0020639,hypoproteinemia
C0556346,alcohol binge episode
C0000727,abdomen acute
C0740844,air fluid level
C0425491,catching breath
C0456091,large-for-dates fetus
C0231441,immobile
C0455204,homicidal thoughts
